sample	public_name	accession_number	condition	stage	stageName	sampleName
zmp_ph133_pool1	ZMP_phenotype_133_1_pool1	ERS1021943	ZFS:0000001	Zygote:1-cell	1-cell	1-cell_detct_pool_1
zmp_ph133_pool10	ZMP_phenotype_133_1_pool10	ERS1021952	ZFS:0000001	Zygote:1-cell	1-cell	1-cell_detct_pool_10
zmp_ph133_pool11	ZMP_phenotype_133_1_pool11	ERS1021953	ZFS:0000001	Zygote:1-cell	1-cell	1-cell_detct_pool_11
zmp_ph133_pool12	ZMP_phenotype_133_1_pool12	ERS1021954	ZFS:0000001	Zygote:1-cell	1-cell	1-cell_detct_pool_12
zmp_ph133_pool2	ZMP_phenotype_133_1_pool2	ERS1021944	ZFS:0000001	Zygote:1-cell	1-cell	1-cell_detct_pool_2
zmp_ph133_pool3	ZMP_phenotype_133_1_pool3	ERS1021945	ZFS:0000001	Zygote:1-cell	1-cell	1-cell_detct_pool_3
zmp_ph133_pool4	ZMP_phenotype_133_1_pool4	ERS1021946	ZFS:0000001	Zygote:1-cell	1-cell	1-cell_detct_pool_4
zmp_ph133_pool5	ZMP_phenotype_133_1_pool5	ERS1021947	ZFS:0000001	Zygote:1-cell	1-cell	1-cell_detct_pool_5
zmp_ph133_pool6	ZMP_phenotype_133_1_pool6	ERS1021948	ZFS:0000001	Zygote:1-cell	1-cell	1-cell_detct_pool_6
zmp_ph133_pool7	ZMP_phenotype_133_1_pool7	ERS1021949	ZFS:0000001	Zygote:1-cell	1-cell	1-cell_detct_pool_7
zmp_ph133_pool8	ZMP_phenotype_133_1_pool8	ERS1021950	ZFS:0000001	Zygote:1-cell	1-cell	1-cell_detct_pool_8
zmp_ph133_pool9	ZMP_phenotype_133_1_pool9	ERS1021951	ZFS:0000001	Zygote:1-cell	1-cell	1-cell_detct_pool_9
zmp_ph133_A1	ZMP_phenotype_133_1_1	ERS1021932	ZFS:0000001	Zygote:1-cell	1-cell	1-cell_detct_single_A1
zmp_ph133_A10	ZMP_phenotype_133_1_10	ERS1021940	ZFS:0000001	Zygote:1-cell	1-cell	1-cell_detct_single_A10
zmp_ph133_A11	ZMP_phenotype_133_1_11	ERS1021941	ZFS:0000001	Zygote:1-cell	1-cell	1-cell_detct_single_A11
zmp_ph133_A12	ZMP_phenotype_133_1_12	ERS1021942	ZFS:0000001	Zygote:1-cell	1-cell	1-cell_detct_single_A12
zmp_ph133_A2	ZMP_phenotype_133_1_2	ERS1021933	ZFS:0000001	Zygote:1-cell	1-cell	1-cell_detct_single_A2
zmp_ph133_A3	ZMP_phenotype_133_1_3	ERS1021934	ZFS:0000001	Zygote:1-cell	1-cell	1-cell_detct_single_A3
zmp_ph133_A4	ZMP_phenotype_133_1_4	ERS1021935	ZFS:0000001	Zygote:1-cell	1-cell	1-cell_detct_single_A4
zmp_ph133_A5	ZMP_phenotype_133_1_5	ERS1021936	ZFS:0000001	Zygote:1-cell	1-cell	1-cell_detct_single_A5
zmp_ph133_A6	ZMP_phenotype_133_1_6	ERS1021937	ZFS:0000001	Zygote:1-cell	1-cell	1-cell_detct_single_A6
zmp_ph133_A7	ZMP_phenotype_133_1_7	ERS1021938	ZFS:0000001	Zygote:1-cell	1-cell	1-cell_detct_single_A7
zmp_ph133_A9	ZMP_phenotype_133_1_9	ERS1021939	ZFS:0000001	Zygote:1-cell	1-cell	1-cell_detct_single_A9
zmp_ph128_pool1	ZMP_phenotype_128_1_pool1	ERS1021802	ZFS:0000002	Cleavage:2-cell	2-cell	2-cell_detct_pool_1
zmp_ph128_pool10	ZMP_phenotype_128_1_pool10	ERS1021811	ZFS:0000002	Cleavage:2-cell	2-cell	2-cell_detct_pool_10
zmp_ph128_pool11	ZMP_phenotype_128_1_pool11	ERS1021812	ZFS:0000002	Cleavage:2-cell	2-cell	2-cell_detct_pool_11
zmp_ph128_pool12	ZMP_phenotype_128_1_pool12	ERS1021813	ZFS:0000002	Cleavage:2-cell	2-cell	2-cell_detct_pool_12
zmp_ph128_pool2	ZMP_phenotype_128_1_pool2	ERS1021803	ZFS:0000002	Cleavage:2-cell	2-cell	2-cell_detct_pool_2
zmp_ph128_pool3	ZMP_phenotype_128_1_pool3	ERS1021804	ZFS:0000002	Cleavage:2-cell	2-cell	2-cell_detct_pool_3
zmp_ph128_pool4	ZMP_phenotype_128_1_pool4	ERS1021805	ZFS:0000002	Cleavage:2-cell	2-cell	2-cell_detct_pool_4
zmp_ph128_pool5	ZMP_phenotype_128_1_pool5	ERS1021806	ZFS:0000002	Cleavage:2-cell	2-cell	2-cell_detct_pool_5
zmp_ph128_pool6	ZMP_phenotype_128_1_pool6	ERS1021807	ZFS:0000002	Cleavage:2-cell	2-cell	2-cell_detct_pool_6
zmp_ph128_pool7	ZMP_phenotype_128_1_pool7	ERS1021808	ZFS:0000002	Cleavage:2-cell	2-cell	2-cell_detct_pool_7
zmp_ph128_pool8	ZMP_phenotype_128_1_pool8	ERS1021809	ZFS:0000002	Cleavage:2-cell	2-cell	2-cell_detct_pool_8
zmp_ph128_pool9	ZMP_phenotype_128_1_pool9	ERS1021810	ZFS:0000002	Cleavage:2-cell	2-cell	2-cell_detct_pool_9
zmp_ph128_A1	ZMP_phenotype_128_1_1	ERS1021790	ZFS:0000002	Cleavage:2-cell	2-cell	2-cell_detct_single_A1
zmp_ph128_A10	ZMP_phenotype_128_1_10	ERS1021799	ZFS:0000002	Cleavage:2-cell	2-cell	2-cell_detct_single_A10
zmp_ph128_A11	ZMP_phenotype_128_1_11	ERS1021800	ZFS:0000002	Cleavage:2-cell	2-cell	2-cell_detct_single_A11
zmp_ph128_A12	ZMP_phenotype_128_1_12	ERS1021801	ZFS:0000002	Cleavage:2-cell	2-cell	2-cell_detct_single_A12
zmp_ph128_A2	ZMP_phenotype_128_1_2	ERS1021791	ZFS:0000002	Cleavage:2-cell	2-cell	2-cell_detct_single_A2
zmp_ph128_A3	ZMP_phenotype_128_1_3	ERS1021792	ZFS:0000002	Cleavage:2-cell	2-cell	2-cell_detct_single_A3
zmp_ph128_A4	ZMP_phenotype_128_1_4	ERS1021793	ZFS:0000002	Cleavage:2-cell	2-cell	2-cell_detct_single_A4
zmp_ph128_A5	ZMP_phenotype_128_1_5	ERS1021794	ZFS:0000002	Cleavage:2-cell	2-cell	2-cell_detct_single_A5
zmp_ph128_A6	ZMP_phenotype_128_1_6	ERS1021795	ZFS:0000002	Cleavage:2-cell	2-cell	2-cell_detct_single_A6
zmp_ph128_A7	ZMP_phenotype_128_1_7	ERS1021796	ZFS:0000002	Cleavage:2-cell	2-cell	2-cell_detct_single_A7
zmp_ph128_A8	ZMP_phenotype_128_1_8	ERS1021797	ZFS:0000002	Cleavage:2-cell	2-cell	2-cell_detct_single_A8
zmp_ph128_A9	ZMP_phenotype_128_1_9	ERS1021798	ZFS:0000002	Cleavage:2-cell	2-cell	2-cell_detct_single_A9
zmp_ph129_pool1	ZMP_phenotype_129_1_pool1	ERS1021826	ZFS:0000008	Blastula:128-cell	128-cell	128-cell_detct_pool_1
zmp_ph129_pool10	ZMP_phenotype_129_1_pool10	ERS1021835	ZFS:0000008	Blastula:128-cell	128-cell	128-cell_detct_pool_10
zmp_ph129_pool11	ZMP_phenotype_129_1_pool11	ERS1021836	ZFS:0000008	Blastula:128-cell	128-cell	128-cell_detct_pool_11
zmp_ph129_pool12	ZMP_phenotype_129_1_pool12	ERS1021837	ZFS:0000008	Blastula:128-cell	128-cell	128-cell_detct_pool_12
zmp_ph129_pool2	ZMP_phenotype_129_1_pool2	ERS1021827	ZFS:0000008	Blastula:128-cell	128-cell	128-cell_detct_pool_2
zmp_ph129_pool3	ZMP_phenotype_129_1_pool3	ERS1021828	ZFS:0000008	Blastula:128-cell	128-cell	128-cell_detct_pool_3
zmp_ph129_pool4	ZMP_phenotype_129_1_pool4	ERS1021829	ZFS:0000008	Blastula:128-cell	128-cell	128-cell_detct_pool_4
zmp_ph129_pool5	ZMP_phenotype_129_1_pool5	ERS1021830	ZFS:0000008	Blastula:128-cell	128-cell	128-cell_detct_pool_5
zmp_ph129_pool6	ZMP_phenotype_129_1_pool6	ERS1021831	ZFS:0000008	Blastula:128-cell	128-cell	128-cell_detct_pool_6
zmp_ph129_pool7	ZMP_phenotype_129_1_pool7	ERS1021832	ZFS:0000008	Blastula:128-cell	128-cell	128-cell_detct_pool_7
zmp_ph129_pool8	ZMP_phenotype_129_1_pool8	ERS1021833	ZFS:0000008	Blastula:128-cell	128-cell	128-cell_detct_pool_8
zmp_ph129_pool9	ZMP_phenotype_129_1_pool9	ERS1021834	ZFS:0000008	Blastula:128-cell	128-cell	128-cell_detct_pool_9
zmp_ph129_A1	ZMP_phenotype_129_1_1	ERS1021814	ZFS:0000008	Blastula:128-cell	128-cell	128-cell_detct_single_A1
zmp_ph129_A10	ZMP_phenotype_129_1_10	ERS1021823	ZFS:0000008	Blastula:128-cell	128-cell	128-cell_detct_single_A10
zmp_ph129_A11	ZMP_phenotype_129_1_11	ERS1021824	ZFS:0000008	Blastula:128-cell	128-cell	128-cell_detct_single_A11
zmp_ph129_A12	ZMP_phenotype_129_1_12	ERS1021825	ZFS:0000008	Blastula:128-cell	128-cell	128-cell_detct_single_A12
zmp_ph129_A2	ZMP_phenotype_129_1_2	ERS1021815	ZFS:0000008	Blastula:128-cell	128-cell	128-cell_detct_single_A2
zmp_ph129_A3	ZMP_phenotype_129_1_3	ERS1021816	ZFS:0000008	Blastula:128-cell	128-cell	128-cell_detct_single_A3
zmp_ph129_A4	ZMP_phenotype_129_1_4	ERS1021817	ZFS:0000008	Blastula:128-cell	128-cell	128-cell_detct_single_A4
zmp_ph129_A5	ZMP_phenotype_129_1_5	ERS1021818	ZFS:0000008	Blastula:128-cell	128-cell	128-cell_detct_single_A5
zmp_ph129_A6	ZMP_phenotype_129_1_6	ERS1021819	ZFS:0000008	Blastula:128-cell	128-cell	128-cell_detct_single_A6
zmp_ph129_A7	ZMP_phenotype_129_1_7	ERS1021820	ZFS:0000008	Blastula:128-cell	128-cell	128-cell_detct_single_A7
zmp_ph129_A8	ZMP_phenotype_129_1_8	ERS1021821	ZFS:0000008	Blastula:128-cell	128-cell	128-cell_detct_single_A8
zmp_ph129_A9	ZMP_phenotype_129_1_9	ERS1021822	ZFS:0000008	Blastula:128-cell	128-cell	128-cell_detct_single_A9
zmp_ph131_pool1	ZMP_phenotype_131_1_pool1	ERS1021874	ZFS:0000011	Blastula:1k-cell	1k-cell	1k-cell_detct_pool_1
zmp_ph131_pool10	ZMP_phenotype_131_1_pool10	ERS1021883	ZFS:0000011	Blastula:1k-cell	1k-cell	1k-cell_detct_pool_10
zmp_ph131_pool11	ZMP_phenotype_131_1_pool11	ERS1021884	ZFS:0000011	Blastula:1k-cell	1k-cell	1k-cell_detct_pool_11
zmp_ph131_pool12	ZMP_phenotype_131_1_pool12	ERS1021885	ZFS:0000011	Blastula:1k-cell	1k-cell	1k-cell_detct_pool_12
zmp_ph131_pool2	ZMP_phenotype_131_1_pool2	ERS1021875	ZFS:0000011	Blastula:1k-cell	1k-cell	1k-cell_detct_pool_2
zmp_ph131_pool3	ZMP_phenotype_131_1_pool3	ERS1021876	ZFS:0000011	Blastula:1k-cell	1k-cell	1k-cell_detct_pool_3
zmp_ph131_pool4	ZMP_phenotype_131_1_pool4	ERS1021877	ZFS:0000011	Blastula:1k-cell	1k-cell	1k-cell_detct_pool_4
zmp_ph131_pool5	ZMP_phenotype_131_1_pool5	ERS1021878	ZFS:0000011	Blastula:1k-cell	1k-cell	1k-cell_detct_pool_5
zmp_ph131_pool6	ZMP_phenotype_131_1_pool6	ERS1021879	ZFS:0000011	Blastula:1k-cell	1k-cell	1k-cell_detct_pool_6
zmp_ph131_pool7	ZMP_phenotype_131_1_pool7	ERS1021880	ZFS:0000011	Blastula:1k-cell	1k-cell	1k-cell_detct_pool_7
zmp_ph131_pool8	ZMP_phenotype_131_1_pool8	ERS1021881	ZFS:0000011	Blastula:1k-cell	1k-cell	1k-cell_detct_pool_8
zmp_ph131_pool9	ZMP_phenotype_131_1_pool9	ERS1021882	ZFS:0000011	Blastula:1k-cell	1k-cell	1k-cell_detct_pool_9
zmp_ph131_A1	ZMP_phenotype_131_1_1	ERS1021862	ZFS:0000011	Blastula:1k-cell	1k-cell	1k-cell_detct_single_A1
zmp_ph131_A10	ZMP_phenotype_131_1_10	ERS1021871	ZFS:0000011	Blastula:1k-cell	1k-cell	1k-cell_detct_single_A10
zmp_ph131_A11	ZMP_phenotype_131_1_11	ERS1021872	ZFS:0000011	Blastula:1k-cell	1k-cell	1k-cell_detct_single_A11
zmp_ph131_A12	ZMP_phenotype_131_1_12	ERS1021873	ZFS:0000011	Blastula:1k-cell	1k-cell	1k-cell_detct_single_A12
zmp_ph131_A2	ZMP_phenotype_131_1_2	ERS1021863	ZFS:0000011	Blastula:1k-cell	1k-cell	1k-cell_detct_single_A2
zmp_ph131_A3	ZMP_phenotype_131_1_3	ERS1021864	ZFS:0000011	Blastula:1k-cell	1k-cell	1k-cell_detct_single_A3
zmp_ph131_A4	ZMP_phenotype_131_1_4	ERS1021865	ZFS:0000011	Blastula:1k-cell	1k-cell	1k-cell_detct_single_A4
zmp_ph131_A5	ZMP_phenotype_131_1_5	ERS1021866	ZFS:0000011	Blastula:1k-cell	1k-cell	1k-cell_detct_single_A5
zmp_ph131_A6	ZMP_phenotype_131_1_6	ERS1021867	ZFS:0000011	Blastula:1k-cell	1k-cell	1k-cell_detct_single_A6
zmp_ph131_A7	ZMP_phenotype_131_1_7	ERS1021868	ZFS:0000011	Blastula:1k-cell	1k-cell	1k-cell_detct_single_A7
zmp_ph131_A8	ZMP_phenotype_131_1_8	ERS1021869	ZFS:0000011	Blastula:1k-cell	1k-cell	1k-cell_detct_single_A8
zmp_ph131_A9	ZMP_phenotype_131_1_9	ERS1021870	ZFS:0000011	Blastula:1k-cell	1k-cell	1k-cell_detct_single_A9
zmp_ph127_pool1	ZMP_phenotype_127_1_pool1	ERS1021778	ZFS:0000015	Blastula:Dome	Dome	Dome_detct_pool_1
zmp_ph127_pool10	ZMP_phenotype_127_1_pool10	ERS1021787	ZFS:0000015	Blastula:Dome	Dome	Dome_detct_pool_10
zmp_ph127_pool11	ZMP_phenotype_127_1_pool11	ERS1021788	ZFS:0000015	Blastula:Dome	Dome	Dome_detct_pool_11
zmp_ph127_pool12	ZMP_phenotype_127_1_pool12	ERS1021789	ZFS:0000015	Blastula:Dome	Dome	Dome_detct_pool_12
zmp_ph127_pool2	ZMP_phenotype_127_1_pool2	ERS1021779	ZFS:0000015	Blastula:Dome	Dome	Dome_detct_pool_2
zmp_ph127_pool3	ZMP_phenotype_127_1_pool3	ERS1021780	ZFS:0000015	Blastula:Dome	Dome	Dome_detct_pool_3
zmp_ph127_pool4	ZMP_phenotype_127_1_pool4	ERS1021781	ZFS:0000015	Blastula:Dome	Dome	Dome_detct_pool_4
zmp_ph127_pool5	ZMP_phenotype_127_1_pool5	ERS1021782	ZFS:0000015	Blastula:Dome	Dome	Dome_detct_pool_5
zmp_ph127_pool6	ZMP_phenotype_127_1_pool6	ERS1021783	ZFS:0000015	Blastula:Dome	Dome	Dome_detct_pool_6
zmp_ph127_pool7	ZMP_phenotype_127_1_pool7	ERS1021784	ZFS:0000015	Blastula:Dome	Dome	Dome_detct_pool_7
zmp_ph127_pool8	ZMP_phenotype_127_1_pool8	ERS1021785	ZFS:0000015	Blastula:Dome	Dome	Dome_detct_pool_8
zmp_ph127_pool9	ZMP_phenotype_127_1_pool9	ERS1021786	ZFS:0000015	Blastula:Dome	Dome	Dome_detct_pool_9
zmp_ph127_A1	ZMP_phenotype_127_1_1	ERS1021766	ZFS:0000015	Blastula:Dome	Dome	Dome_detct_single_A1
zmp_ph127_A10	ZMP_phenotype_127_1_10	ERS1021775	ZFS:0000015	Blastula:Dome	Dome	Dome_detct_single_A10
zmp_ph127_A11	ZMP_phenotype_127_1_11	ERS1021776	ZFS:0000015	Blastula:Dome	Dome	Dome_detct_single_A11
zmp_ph127_A12	ZMP_phenotype_127_1_12	ERS1021777	ZFS:0000015	Blastula:Dome	Dome	Dome_detct_single_A12
zmp_ph127_A2	ZMP_phenotype_127_1_2	ERS1021767	ZFS:0000015	Blastula:Dome	Dome	Dome_detct_single_A2
zmp_ph127_A3	ZMP_phenotype_127_1_3	ERS1021768	ZFS:0000015	Blastula:Dome	Dome	Dome_detct_single_A3
zmp_ph127_A4	ZMP_phenotype_127_1_4	ERS1021769	ZFS:0000015	Blastula:Dome	Dome	Dome_detct_single_A4
zmp_ph127_A5	ZMP_phenotype_127_1_5	ERS1021770	ZFS:0000015	Blastula:Dome	Dome	Dome_detct_single_A5
zmp_ph127_A6	ZMP_phenotype_127_1_6	ERS1021771	ZFS:0000015	Blastula:Dome	Dome	Dome_detct_single_A6
zmp_ph127_A7	ZMP_phenotype_127_1_7	ERS1021772	ZFS:0000015	Blastula:Dome	Dome	Dome_detct_single_A7
zmp_ph127_A8	ZMP_phenotype_127_1_8	ERS1021773	ZFS:0000015	Blastula:Dome	Dome	Dome_detct_single_A8
zmp_ph127_A9	ZMP_phenotype_127_1_9	ERS1021774	ZFS:0000015	Blastula:Dome	Dome	Dome_detct_single_A9
zmp_ph115_pool1	ZMP_phenotype_115_1_pool1	ERS1021682	ZFS:0000017	Gastrula:50%-epiboly	50%-epiboly	50%-epiboly_detct_pool_1
zmp_ph115_pool10	ZMP_phenotype_115_1_pool10	ERS1021691	ZFS:0000017	Gastrula:50%-epiboly	50%-epiboly	50%-epiboly_detct_pool_10
zmp_ph115_pool11	ZMP_phenotype_115_1_pool11	ERS1021692	ZFS:0000017	Gastrula:50%-epiboly	50%-epiboly	50%-epiboly_detct_pool_11
zmp_ph115_pool12	ZMP_phenotype_115_1_pool12	ERS1021693	ZFS:0000017	Gastrula:50%-epiboly	50%-epiboly	50%-epiboly_detct_pool_12
zmp_ph115_pool2	ZMP_phenotype_115_1_pool2	ERS1021683	ZFS:0000017	Gastrula:50%-epiboly	50%-epiboly	50%-epiboly_detct_pool_2
zmp_ph115_pool3	ZMP_phenotype_115_1_pool3	ERS1021684	ZFS:0000017	Gastrula:50%-epiboly	50%-epiboly	50%-epiboly_detct_pool_3
zmp_ph115_pool4	ZMP_phenotype_115_1_pool4	ERS1021685	ZFS:0000017	Gastrula:50%-epiboly	50%-epiboly	50%-epiboly_detct_pool_4
zmp_ph115_pool5	ZMP_phenotype_115_1_pool5	ERS1021686	ZFS:0000017	Gastrula:50%-epiboly	50%-epiboly	50%-epiboly_detct_pool_5
zmp_ph115_pool6	ZMP_phenotype_115_1_pool6	ERS1021687	ZFS:0000017	Gastrula:50%-epiboly	50%-epiboly	50%-epiboly_detct_pool_6
zmp_ph115_pool7	ZMP_phenotype_115_1_pool7	ERS1021688	ZFS:0000017	Gastrula:50%-epiboly	50%-epiboly	50%-epiboly_detct_pool_7
zmp_ph115_pool8	ZMP_phenotype_115_1_pool8	ERS1021689	ZFS:0000017	Gastrula:50%-epiboly	50%-epiboly	50%-epiboly_detct_pool_8
zmp_ph115_pool9	ZMP_phenotype_115_1_pool9	ERS1021690	ZFS:0000017	Gastrula:50%-epiboly	50%-epiboly	50%-epiboly_detct_pool_9
zmp_ph115_A1	ZMP_phenotype_115_1_1	ERS1021670	ZFS:0000017	Gastrula:50%-epiboly	50%-epiboly	50%-epiboly_detct_single_A1
zmp_ph115_A10	ZMP_phenotype_115_1_10	ERS1021679	ZFS:0000017	Gastrula:50%-epiboly	50%-epiboly	50%-epiboly_detct_single_A10
zmp_ph115_A11	ZMP_phenotype_115_1_11	ERS1021680	ZFS:0000017	Gastrula:50%-epiboly	50%-epiboly	50%-epiboly_detct_single_A11
zmp_ph115_A12	ZMP_phenotype_115_1_12	ERS1021681	ZFS:0000017	Gastrula:50%-epiboly	50%-epiboly	50%-epiboly_detct_single_A12
zmp_ph115_A2	ZMP_phenotype_115_1_2	ERS1021671	ZFS:0000017	Gastrula:50%-epiboly	50%-epiboly	50%-epiboly_detct_single_A2
zmp_ph115_A3	ZMP_phenotype_115_1_3	ERS1021672	ZFS:0000017	Gastrula:50%-epiboly	50%-epiboly	50%-epiboly_detct_single_A3
zmp_ph115_A4	ZMP_phenotype_115_1_4	ERS1021673	ZFS:0000017	Gastrula:50%-epiboly	50%-epiboly	50%-epiboly_detct_single_A4
zmp_ph115_A5	ZMP_phenotype_115_1_5	ERS1021674	ZFS:0000017	Gastrula:50%-epiboly	50%-epiboly	50%-epiboly_detct_single_A5
zmp_ph115_A6	ZMP_phenotype_115_1_6	ERS1021675	ZFS:0000017	Gastrula:50%-epiboly	50%-epiboly	50%-epiboly_detct_single_A6
zmp_ph115_A7	ZMP_phenotype_115_1_7	ERS1021676	ZFS:0000017	Gastrula:50%-epiboly	50%-epiboly	50%-epiboly_detct_single_A7
zmp_ph115_A8	ZMP_phenotype_115_1_8	ERS1021677	ZFS:0000017	Gastrula:50%-epiboly	50%-epiboly	50%-epiboly_detct_single_A8
zmp_ph115_A9	ZMP_phenotype_115_1_9	ERS1021678	ZFS:0000017	Gastrula:50%-epiboly	50%-epiboly	50%-epiboly_detct_single_A9
zmp_ph123_pool1	ZMP_phenotype_123_1_pool1	ERS1021897	ZFS:0000019	Gastrula:Shield	Shield	Shield_detct_pool_1
zmp_ph123_pool10	ZMP_phenotype_123_1_pool10	ERS1021906	ZFS:0000019	Gastrula:Shield	Shield	Shield_detct_pool_10
zmp_ph123_pool11	ZMP_phenotype_123_1_pool11	ERS1021907	ZFS:0000019	Gastrula:Shield	Shield	Shield_detct_pool_11
zmp_ph123_pool12	ZMP_phenotype_123_1_pool12	ERS1021908	ZFS:0000019	Gastrula:Shield	Shield	Shield_detct_pool_12
zmp_ph123_pool2	ZMP_phenotype_123_1_pool2	ERS1021898	ZFS:0000019	Gastrula:Shield	Shield	Shield_detct_pool_2
